x,y,stress_shear_1,stress_shear_10,stress_shear_20,stress_shear_30,stress_shear_40,stress_shear_50,stress_shear_60,stress_shear_70,stress_shear_80,stress_shear_90,stress_shear_100,stress_shear_1000,stress_shear_10000
1.249999999999999334e+00,2.833333333333332149e+00,2.483581977280943868e-06,2.483581977280868228e-05,4.967163954561726970e-05,7.450745931842590116e-05,9.934327909123406505e-05,1.241790988640433403e-04,1.490149186368528865e-04,1.738507384096646283e-04,1.986865581824697022e-04,2.235223779552785979e-04,2.483581977280869516e-04,2.483581977280894561e-03,2.483581977280828468e-02
1.249999999999999334e+00,2.979166666666665186e+00,3.244008859382463155e-06,3.244008859382441640e-05,6.488017718764876505e-05,9.732026578147719978e-05,1.297603543752976114e-04,1.622004429691229833e-04,1.946405315629536948e-04,2.270806201567696070e-04,2.595207087505957649e-04,2.919607973444174505e-04,3.244008859382454244e-04,3.244008859382518754e-03,3.244008859382508519e-02
1.249999999999999334e+00,3.562499999999998668e+00,9.681246356755404068e-06,9.681246356755473864e-05,1.936249271351102091e-04,2.904373907026864556e-04,3.872498542702197677e-04,4.840623178377810522e-04,5.808747814053665144e-04,6.776872449728660536e-04,7.744997085404415954e-04,8.713121721079843942e-04,9.681246356755590686e-04,9.681246356755820320e-03,9.681246356755947302e-02
1.249999999999999334e+00,2.395833333333332149e+00,1.141068516303876990e-06,1.141068516303653374e-05,2.282137032607262363e-05,3.423205548909746154e-05,4.564274065214476614e-05,5.705342581517871474e-05,6.846411097820049316e-05,7.987479614127328330e-05,9.128548130429137543e-05,1.026961664673324391e-04,1.141068516303588525e-04,1.141068516303542528e-03,1.141068516303319832e-02
1.249999999999999334e+00,3.999999999999996447e+00,2.287748234326234467e-05,2.287748234326227894e-04,4.575496468652466629e-04,6.863244702979058543e-04,9.150992937304921332e-04,1.143874117163126659e-03,1.372648940595801084e-03,1.601423764028333044e-03,1.830198587460991856e-03,2.058973410893589519e-03,2.287748234326244644e-03,2.287748234326297814e-02,2.287748234326304753e-01
1.260693923282736106e+00,4.163157740275061691e+00,3.462183009505996302e-05,3.462183009506158526e-04,6.924366019012082865e-04,1.038654902851878295e-03,1.384873203802503092e-03,1.731091504752983257e-03,2.077309805703789983e-03,2.423528106654392229e-03,2.769746407604899499e-03,3.115964708555526898e-03,3.462183009506231059e-03,3.462183009506238779e-02,3.462183009506335507e-01
1.292592717138663305e+00,4.323523806378147150e+00,4.905473884189844399e-05,4.905473884189809298e-04,9.810947768379644617e-04,1.471642165257006866e-03,1.962189553675928056e-03,2.452736942094930778e-03,2.943284330513997252e-03,3.433831718932835609e-03,3.924379107351859582e-03,4.414926495770815466e-03,4.905473884189848546e-03,4.905473884189946732e-02,4.905473884189938683e-01
1.345150584360890189e+00,4.478354290456358022e+00,6.661107933490014333e-05,6.661107933489969881e-04,1.332221586697997662e-03,1.998332380047070436e-03,2.664443173395990554e-03,3.330553966745017792e-03,3.996664760094131331e-03,4.662775553442946933e-03,5.328886346791990650e-03,5.994997140140958906e-03,6.661107933490026910e-03,6.661107933490161004e-02,6.661107933490135746e-01
1.417468245269450478e+00,4.624999999999996447e+00,8.636196785075313687e-05,8.636196785075216922e-04,1.727239357015048589e-03,2.590859035522637827e-03,3.454478714030097177e-03,4.318098392537651070e-03,5.181718071045254836e-03,6.045337749552612272e-03,6.908957428060216038e-03,7.772577106567649802e-03,8.636196785075270915e-03,8.636196785075432591e-02,8.636196785075368476e-01
1.508308324635954767e+00,4.760951786260897656e+00,1.090775396510263118e-04,1.090775396510255176e-03,2.181550793020514255e-03,3.272326189530851831e-03,4.363101586041025041e-03,5.453876982551310142e-03,6.544652379061687182e-03,7.635427775571815290e-03,8.726203172082079573e-03,9.816978568592222426e-03,1.090775396510259426e-02,1.090775396510272333e-01,1.090775396510276662e+00
1.616116523516813119e+00,4.883883476483179109e+00,1.291908439426720954e-04,1.291908439426714232e-03,2.583816878853432367e-03,3.875725318280232468e-03,5.167633757706860398e-03,6.459542197133556415e-03,7.751450636560444120e-03,9.043359075986995288e-03,1.033526751541375896e-02,1.162717595484030926e-02,1.291908439426709375e-02,1.291908439426724953e-01,1.291908439426736166e+00
1.739048213739095905e+00,4.991691675364038794e+00,1.486204759515754301e-04,1.486204759515747254e-03,2.972409519031497544e-03,4.458614278547335004e-03,5.944819038062995088e-03,7.431023797578729766e-03,8.917228557094647456e-03,1.040343331661023642e-02,1.188963807612601620e-02,1.337584283564158955e-02,1.486204759515742310e-02,1.486204759515764029e-01,1.486204759515767027e+00
1.874999999999996891e+00,5.082531754730544193e+00,1.653659352796520653e-04,1.653659352796512305e-03,3.307318705593022008e-03,4.960978058389640781e-03,6.614637411186034474e-03,8.268296763982541792e-03,9.921956116779267684e-03,1.157561546957553908e-02,1.322927482237214007e-02,1.488293417516842708e-02,1.653659352796502807e-02,1.653659352796527926e-01,1.653659352796533755e+00
2.021645709543632652e+00,5.154849415639104038e+00,1.793322627820483290e-04,1.793322627820468761e-03,3.586645255640945329e-03,5.379967883461523812e-03,7.173290511281871576e-03,8.966613139102345975e-03,1.075993576692305283e-02,1.255325839474326702e-02,1.434658102256378132e-02,1.613990365038407010e-02,1.793322627820460868e-02,1.793322627820493620e-01,1.793322627820488346e+00
2.176476193621843080e+00,5.207407282861330700e+00,1.888641447230316947e-04,1.888641447230300901e-03,3.777282894460605705e-03,5.665924341691007220e-03,7.554565788921204471e-03,9.443207236151515346e-03,1.133184868338203873e-02,1.322049013061207638e-02,1.510913157784246098e-02,1.699777302507256282e-02,1.888641447230298559e-02,1.888641447230328674e-01,1.888641447230323234e+00
2.336842259724928095e+00,5.239306076717259231e+00,1.958777095221153858e-04,1.958777095221133149e-03,3.917554190442271503e-03,5.876331285663529552e-03,7.835108380884534332e-03,9.793885476105703911e-03,1.175266257132705910e-02,1.371143966654790255e-02,1.567021676176911030e-02,1.762899385699010293e-02,1.958777095221133843e-02,1.958777095221169995e-01,1.958777095221148068e+00
2.499999999999992895e+00,5.249999999999997335e+00,1.948289156918362114e-04,1.948289156918346556e-03,3.896578313836695281e-03,5.844867470755144186e-03,7.793156627673376684e-03,9.741445784591741888e-03,1.168973494151030225e-02,1.363802409842839423e-02,1.558631325534680888e-02,1.753460241226496852e-02,1.948289156918341786e-02,1.948289156918384113e-01,1.948289156918357135e+00
2.663157740275057250e+00,5.239306076717261007e+00,1.996146668869214485e-04,1.996146668869183856e-03,3.992293337738381589e-03,5.988440006607663457e-03,7.984586675476754505e-03,9.980733344346036373e-03,1.197688001321534773e-02,1.397302668208432949e-02,1.596917335095350207e-02,1.796532001982254975e-02,1.996146668869200336e-02,1.996146668869224483e-01,1.996146668869205998e+00
2.823523806378142709e+00,5.207407282861333364e+00,1.914068666495302197e-04,1.914068666495275309e-03,3.828137332990561026e-03,5.742205999485926540e-03,7.656274665981096031e-03,9.570343332476449402e-03,1.148441199897187910e-02,1.339848066546692890e-02,1.531254933196222676e-02,1.722661799845736502e-02,1.914068666495283288e-02,1.914068666495319926e-01,1.914068666495288840e+00
2.978354290456353137e+00,5.154849415639107590e+00,1.825846491495847115e-04,1.825846491495816161e-03,3.651692982991637960e-03,5.477539474487564709e-03,7.303385965983264644e-03,9.129232457479145857e-03,1.095507894897513809e-02,1.278092544047073655e-02,1.460677193196652755e-02,1.643261842346227172e-02,1.825846491495825008e-02,1.825846491495861645e-01,1.825846491495828783e+00
3.124999999999992006e+00,5.082531754730549522e+00,1.648774099364143906e-04,1.648774099364107206e-03,3.297548198728228290e-03,4.946322298092411390e-03,6.595096397456430559e-03,8.243870496820652691e-03,9.892644596184831454e-03,1.154141869554882287e-02,1.319019279491290449e-02,1.483896689427693406e-02,1.648774099364128110e-02,1.648774099364160306e-01,1.648774099364123780e+00
3.260951786260894103e+00,4.991691675364045899e+00,1.486531877302453585e-04,1.486531877302420734e-03,2.973063754604845371e-03,4.459595631907356528e-03,5.946127509209677732e-03,7.432659386512179348e-03,8.919191263814763362e-03,1.040572314111696053e-02,1.189225501841938322e-02,1.337878689572177815e-02,1.486531877302427543e-02,1.486531877302463001e-01,1.486531877302428750e+00
3.383883476483178221e+00,4.883883476483184438e+00,1.291127282143764339e-04,1.291127282143734361e-03,2.582254564287476094e-03,3.873381846431285264e-03,5.164509128574939177e-03,6.455636410718773067e-03,7.746763692862601754e-03,9.037890975006188446e-03,1.032901825714989397e-02,1.162014553929359602e-02,1.291127282143748022e-02,1.291127282143770816e-01,1.291127282143742283e+00
3.491691675364038794e+00,4.760951786260901208e+00,1.093317514024475472e-04,1.093317514024446171e-03,2.186635028048896680e-03,3.279952542073411373e-03,4.373270056097781217e-03,5.466587570122325400e-03,6.559905084146865246e-03,7.653222598171180446e-03,8.746540112195574576e-03,9.839857626220012074e-03,1.093317514024459008e-02,1.093317514024484405e-01,1.093317514024453985e+00
3.582531754730545082e+00,4.625000000000000888e+00,8.722753182820747338e-05,8.722753182820457314e-04,1.744550636564096884e-03,2.616825954846196609e-03,3.489101273128177721e-03,4.361376591410322766e-03,5.233651909692434850e-03,6.105927227974391677e-03,6.978202546256359780e-03,7.850477864538433700e-03,8.722753182820591755e-03,8.722753182820794371e-02,8.722753182820520701e-01
3.654849415639106258e+00,4.478354290456362463e+00,6.668026541527658131e-05,6.668026541527392230e-04,1.333605308305482566e-03,2.000407962458262447e-03,2.667210616610947785e-03,3.334013270763772335e-03,4.000815924916556986e-03,4.667618579069257069e-03,5.334421233221893835e-03,6.001223887374689328e-03,6.668026541527516914e-03,6.668026541527670437e-02,6.668026541527422024e-01
3.707407282861332920e+00,4.323523806378149814e+00,4.937076687786356961e-05,4.937076687786121553e-04,9.874153375572264791e-04,1.481123006335869751e-03,1.974830675114442984e-03,2.468538343893136346e-03,2.962246012671778967e-03,3.455953681450369980e-03,3.949661350228880763e-03,4.443369019007547237e-03,4.937076687786236262e-03,4.937076687786375734e-02,4.937076687786149942e-01
3.739306076717260563e+00,4.163157740275062579e+00,3.481254697394219798e-05,3.481254697394025590e-04,6.962509394788060938e-04,1.044376409218229470e-03,1.392501878957602647e-03,1.740627348697072968e-03,2.088752818436492766e-03,2.436878288175888495e-03,2.785003757915197487e-03,3.133129227654654798e-03,3.481254697394118615e-03,3.481254697394219749e-02,3.481254697394025599e-01
3.749999999999997780e+00,2.541666666666665186e+00,1.451952745060980688e-06,1.451952745061834243e-05,2.903905490123752511e-05,4.355858235185775472e-05,5.807810980247767263e-05,7.259763725306564723e-05,8.711716470369588539e-05,1.016366921542800585e-04,1.161562196049623926e-04,1.306757470555402231e-04,1.451952745061390736e-04,1.451952745061163867e-03,1.451952745062055385e-02
3.749999999999997780e+00,2.979166666666664298e+00,3.214857635159619203e-06,3.214857635159622761e-05,6.429715270319275337e-05,9.644572905479097320e-05,1.285943054063852628e-04,1.607428817579809619e-04,1.928914581095811061e-04,2.250400344611704897e-04,2.571886108127715556e-04,2.893371871643639478e-04,3.214857635159615442e-04,3.214857635159660328e-03,3.214857635159670129e-02
3.749999999999997780e+00,3.708333333333331261e+00,1.282915238837948135e-05,1.282915238837824604e-04,2.565830477675648123e-04,3.848745716513542387e-04,5.131660955351256131e-04,6.414576194189490835e-04,7.697491433027334141e-04,8.980406671865355257e-04,1.026332191070245155e-03,1.154623714954070143e-03,1.282915238837885157e-03,1.282915238837942576e-02,1.282915238837818717e-01
3.749999999999997780e+00,3.124999999999997780e+00,4.225821453385536417e-06,4.225821453385265197e-05,8.451642906770537170e-05,1.267746436015601650e-04,1.690328581354094966e-04,2.112910726692719741e-04,2.535492872031257510e-04,2.958075017369803409e-04,3.380657162708185053e-04,3.803239308046797631e-04,4.225821453385395030e-04,4.225821453385534242e-03,4.225821453385261717e-02
3.749999999999997780e+00,3.562499999999997780e+00,9.696576751742173330e-06,9.696576751741177219e-05,1.939315350348225415e-04,2.908973025522395314e-04,3.878630700696427520e-04,4.848288375870885274e-04,5.817946051044996627e-04,6.787603726219280367e-04,7.757261401392793240e-04,8.726919076567267800e-04,9.696576751741664297e-04,9.696576751742076727e-03,9.696576751741059486e-02
3.749999999999997780e+00,2.395833333333331261e+00,1.124656202921996370e-06,1.124656202923122669e-05,2.249312405846354775e-05,3.373968608769639058e-05,4.498624811693026679e-05,5.623281014612179814e-05,6.747937217536772254e-05,7.872593420455575733e-05,8.997249623386957313e-05,1.012190582630483786e-04,1.124656202922544518e-04,1.124656202922227769e-03,1.124656202923391551e-02
3.749999999999998668e+00,2.833333333333331705e+00,2.454880149157302787e-06,2.454880149157594760e-05,4.909760298315225433e-05,7.364640447472997392e-05,9.819520596630537603e-05,1.227440074578710339e-04,1.472928089494530361e-04,1.718416104410134897e-04,1.963904119326137336e-04,2.209392134241735910e-04,2.454880149157442361e-04,2.454880149157386091e-03,2.454880149157696867e-02
3.749999999999998668e+00,3.416666666666665186e+00,7.346122575409967443e-06,7.346122575409183260e-05,1.469224515081834484e-04,2.203836772622792112e-04,2.938449030163640236e-04,3.673061287704831781e-04,4.407673545245743060e-04,5.142285802786797453e-04,5.876898060327252283e-04,6.611510317868444370e-04,7.346122575409571405e-04,7.346122575409911627e-03,7.346122575409114175e-02
3.749999999999998668e+00,2.249999999999998668e+00,8.523121077691036464e-07,8.523121077704678777e-06,1.704624215541066198e-05,2.556936323311715341e-05,3.409248431082527453e-05,4.261560538848176730e-05,5.113872646620377298e-05,5.966184754385693860e-05,6.818496862166143174e-05,7.670808969930288798e-05,8.523121077697670765e-05,8.523121077693765740e-04,8.523121077707909374e-03
3.749999999999998668e+00,2.687499999999998668e+00,1.883950573390846882e-06,1.883950573391422991e-05,3.767901146782917134e-05,5.651851720174501061e-05,7.535802293565992832e-05,9.419752866955331783e-05,1.130370344034767669e-04,1.318765401373656976e-04,1.507160458713250337e-04,1.695555516052105085e-04,1.883950573391114604e-04,1.883950573390973495e-03,1.883950573391581298e-02
3.749999999999998668e+00,3.854166666666665186e+00,1.697697526076103611e-05,1.697697526075965849e-04,3.395395052151916520e-04,5.093092578227959889e-04,6.790790104303788587e-04,8.488487630380260216e-04,1.018618515645621685e-03,1.188388268253236539e-03,1.358158020860754465e-03,1.527927773468400327e-03,1.697697526076036214e-03,1.697697526076084179e-02,1.697697526075944985e-01
3.749999999999998668e+00,3.999999999999998224e+00,2.305132579313824226e-05,2.305132579313645875e-04,4.610265158627304218e-04,6.915397737941114892e-04,9.220530317254562900e-04,1.152566289656871456e-03,1.383079547588257456e-03,1.613592805519650829e-03,1.844106063450906942e-03,2.074619321382327637e-03,2.305132579313740743e-03,2.305132579313846214e-02,2.305132579313696473e-01
3.749999999999998668e+00,3.270833333333332149e+00,5.567973782336919918e-06,5.567973782336398992e-05,1.113594756467278308e-04,1.670392134700946667e-04,2.227189512934536016e-04,2.783986891168357112e-04,3.340784269402000128e-04,3.897581647635717413e-04,4.454379025869047094e-04,5.011176404102870088e-04,5.567973782336651340e-04,5.567973782336883143e-03,5.567973782336350236e-02
3.760693923282735884e+00,2.086842259724932980e+00,5.945382025066185234e-07,5.945382025080752083e-06,1.189076405016286450e-05,1.783614607524531742e-05,2.378152810032998449e-05,2.972691012535919801e-05,3.567229215045821043e-05,4.161767417548456775e-05,4.756305620067144798e-05,5.350843822568500494e-05,5.945382025073257196e-05,5.945382025069032060e-04,5.945382025084138683e-03
3.792592717138662639e+00,1.926476193621845967e+00,4.530134862128909291e-07,4.530134862143674240e-06,9.060269724288710509e-06,1.359040458643404239e-05,1.812053944858178493e-05,2.265067431067323536e-05,2.718080917283531477e-05,3.171094403492396321e-05,3.624107889717508274e-05,4.077121375925094098e-05,4.530134862136082961e-05,4.530134862131787081e-04,4.530134862147124422e-03
3.845150584360890189e+00,1.771645709543633984e+00,3.576140442250681844e-07,3.576140442265430805e-06,7.152280884532098278e-06,1.072842132679925110e-05,1.430456176906870955e-05,1.788070221128161669e-05,2.145684265356557634e-05,2.503298309577583735e-05,2.860912353814843730e-05,3.218526398034632824e-05,3.576140442257774135e-05,3.576140442253474732e-04,3.576140442268770005e-03
3.917468245269450922e+00,1.624999999999996003e+00,2.900014834007985825e-07,2.900014834022426890e-06,5.800029668046201409e-06,8.700044502070144911e-06,1.160005933609667695e-05,1.450007417006800107e-05,1.740008900410822115e-05,2.030010383807716003e-05,2.320011867220459232e-05,2.610013350616081554e-05,2.900014834015012387e-05,2.900014834010790029e-04,2.900014834025780967e-03
4.008308324635955877e+00,1.489048213739095461e+00,2.389033484164773357e-07,2.389033484178779682e-06,4.778066968358846007e-06,7.167100452539054210e-06,9.556133936721822146e-06,1.194516742085106946e-05,1.433420090504710871e-05,1.672323438917405717e-05,1.911226787345462523e-05,2.150130135756920871e-05,2.389033484171596588e-05,2.389033484167504742e-04,2.389033484182019173e-03
4.116116523516813785e+00,1.366116523516812675e+00,1.995235385877003626e-07,1.995235385890267103e-06,3.990470771781774262e-06,5.985706157673397464e-06,7.980941543567461816e-06,9.976176929410777883e-06,1.197141231531734868e-05,1.396664770115855394e-05,1.596188308714527099e-05,1.795711847297473129e-05,1.995235385883461024e-05,1.995235385879570635e-04,1.995235385893345207e-03
4.239048213739097015e+00,1.258308324635953879e+00,1.683119549070220677e-07,1.683119549082452415e-06,3.366239098166039431e-06,5.049358647249727244e-06,6.732478196335701622e-06,8.415597745374871501e-06,1.009871729447234096e-05,1.178183684350961518e-05,1.346495639268088663e-05,1.514807594170729341e-05,1.683119549076176071e-05,1.683119549072595832e-04,1.683119549085278829e-03
4.374999999999998224e+00,1.167468245269450478e+00,1.438544482979970925e-07,1.438544482990687480e-06,2.877088965982357943e-06,4.315633448974133649e-06,5.754177931967902423e-06,7.192722414920672262e-06,8.631266897924514799e-06,1.006981138087562191e-05,1.150835586394415151e-05,1.294690034688576508e-05,1.438544482985189517e-05,1.438544482982056138e-04,1.438544482993167747e-03
4.521645709543635760e+00,1.095150584360890411e+00,1.253930368842210435e-07,1.253930368850786591e-06,2.507860737702352452e-06,3.761791106554018687e-06,5.015721475407258709e-06,6.269651844227715167e-06,7.523582213089043507e-06,8.777512581908151489e-06,1.003144295082116493e-05,1.128537331963272077e-05,1.253930368846387187e-05,1.253930368843882408e-04,1.253930368852770481e-03
4.676476193621845745e+00,1.042592717138663527e+00,1.126721259829314640e-07,1.126721259834998814e-06,2.253442519670535070e-06,3.380163779506124478e-06,4.506885039342729478e-06,5.633606299157607236e-06,6.760327558999677293e-06,7.887048818813550469e-06,9.013770078689900797e-06,1.014049133849886457e-05,1.126721259832081675e-05,1.126721259830430841e-04,1.126721259836323914e-03
4.836842259724932092e+00,1.010693923282735884e+00,1.057860030921654989e-07,1.057860030923815346e-06,2.115720061847836522e-06,3.173580092771905978e-06,4.231440123696304930e-06,5.289300154612465640e-06,6.347160185539003350e-06,7.405020216454687180e-06,8.462880247394302232e-06,9.520740278308168330e-06,1.057860030922705225e-05,1.057860030922087738e-04,1.057860030924323092e-03
4.999999999999997335e+00,9.999999999999991118e-01,1.049837958544217147e-07,1.049837958542563077e-06,2.099675917084983852e-06,3.149513875627450367e-06,4.199351834169474731e-06,5.249189792717873865e-06,6.299027751258559916e-06,7.348865709806974297e-06,8.398703668337685689e-06,9.448541626887718749e-06,1.049837958543408754e-05,1.049837958543919854e-04,1.049837958542199903e-03
5.163157740275062579e+00,1.010693923282736550e+00,1.099902144952789740e-07,1.099902144947558385e-06,2.199804289894645396e-06,3.299706434841768406e-06,4.399608579787739874e-06,5.499510724753783059e-06,6.599412869695120834e-06,7.699315014661668003e-06,8.799217159571456342e-06,9.899119304542771460e-06,1.099902144950236872e-05,1.099902144951800224e-04,1.099902144946370702e-03
5.323523806378148038e+00,1.042592717138664193e+00,1.205060633572497220e-07,1.205060633564298576e-06,2.410121267127857693e-06,3.615181900691454714e-06,4.820242534253286942e-06,6.025303167846544092e-06,7.230363801401079131e-06,8.435424434995165527e-06,9.640485068500241465e-06,1.084554570210183173e-05,1.205060633568496344e-05,1.205060633570937426e-04,1.205060633562438609e-03
