x,y,stress,height,length,velocity
9.999999999999993,2.6670892122444214e-16,1057.1094839249479,5.0,15.0,10000
10.00830561172995,0.16636618537044817,118.83895359884843,5.0,15.0,10000
10.0329269642926,0.3311133984672348,118.64777088729096,5.0,15.0,10000
10.073032358209952,0.4927966699194245,43.39675001349532,5.0,15.0,10000
10.127395434127536,0.6502677591397493,39.562205283971466,5.0,15.0,10000
10.194571168741517,0.802722943939371,26.49759844335072,5.0,15.0,10000
10.273055783779048,0.9496849800689164,21.983543937811834,5.0,15.0,10000
10.361402728321272,1.090946068409348,17.712639352593094,5.0,15.0,10000
10.458290588857718,1.2264985121110747,14.840333682459505,5.0,15.0,10000
10.562552435472476,1.3564704125666436,12.609865467144386,5.0,15.0,10000
10.673179706778008,1.4810739454014352,10.891184718294884,5.0,15.0,10000
10.789311946576364,1.6005674357789144,9.525403034359298,5.0,15.0,10000
10.910220187740096,1.715229328432449,8.42485400203934,5.0,15.0,10000
11.035288651400483,1.8253412755578355,7.523869164887041,5.0,15.0,10000
11.163997198756023,1.931177720228688,6.778065561257157,5.0,15.0,10000
11.295905690682591,2.0329999497549966,6.15404599122783,5.0,15.0,10000
11.43064063283386,2.1310531138044455,5.627584359409488,5.0,15.0,10000
11.567883808144524,2.225564962193596,5.180138380494103,5.0,15.0,10000
11.707362967743563,2.3167458194795807,4.797730641056099,5.0,15.0,10000
11.84884344400735,2.4047887696513603,4.469427209028454,5.0,15.0,10000
11.992123889411312,2.4898719086102097,4.1855359010462765,5.0,15.0,10000
12.137030444474211,2.57215893352078,3.915201099552244,5.0,15.0,10000
12.28340909097546,2.6517984600081546,3.7055492810983353,5.0,15.0,10000
12.431125660515413,2.7289272991872737,3.5147237869510786,5.0,15.0,10000
12.580063232854492,2.803671614550132,3.34931777346542,5.0,15.0,10000
12.730118036031175,2.876147048285888,3.203283047875747,5.0,15.0,10000
12.881198325411132,2.946460135521985,3.074690800830655,5.0,15.0,10000
13.033222417687192,3.0147090203322873,2.9609528617151875,5.0,15.0,10000
13.186117361909904,3.080984276591446,2.8603391088535512,5.0,15.0,10000
13.339817788028752,3.145369626462036,2.771143507394198,5.0,15.0,10000
13.494265011633372,3.2079426147796926,2.6921764928945384,5.0,15.0,10000
13.64940617195448,3.2687751656262622,2.622386655059297,5.0,15.0,10000
13.805193310250575,3.3279340134206983,2.560673920901705,5.0,15.0,10000
13.961582885065308,3.3854812163563808,2.503497833751326,5.0,15.0,10000
14.118535525314647,3.4414746659303006,2.454569266429084,5.0,15.0,10000
14.27601535226138,3.4959683648941557,2.410314218855821,5.0,15.0,10000
14.4339893223555,3.549012669585451,2.370976912573653,5.0,15.0,10000
14.592427143812182,3.6006546818775824,2.3357147530616653,5.0,15.0,10000
14.75130124511694,3.650938598218552,2.3042168343253953,5.0,15.0,10000
14.910586191803052,3.699905839747288,2.275856497880778,5.0,15.0,10000
15.070258400198144,3.7475952550515568,2.250958893224509,5.0,15.0,10000
15.230296183314739,3.794043391865808,2.227121580332771,5.0,15.0,10000
15.390679354497564,3.8392846083022736,2.206676337929816,5.0,15.0,10000
15.55138918323126,3.883351267959169,2.18804817863182,5.0,15.0,10000
15.712408352321564,3.9262739105497646,2.1713597992960367,5.0,15.0,10000
15.873738273134476,3.968085837063696,2.1561595726405254,5.0,15.0,10000
16.03534633836625,4.008809531338541,2.142430911961928,5.0,15.0,10000
16.197200816791025,4.048466466043317,2.129871009636165,5.0,15.0,10000
16.359306096470508,4.087085471546093,2.118761250326626,5.0,15.0,10000
16.521649802031828,4.124689589945096,2.1082289115196726,5.0,15.0,10000
16.6842203462501,4.161300661388872,2.0987404445268885,5.0,15.0,10000
16.847006841660097,4.19693939489855,2.0900190530348475,5.0,15.0,10000
17.009999003175754,4.231625430687198,2.0820324404756203,5.0,15.0,10000
17.173187130001004,4.265377413261054,2.0746722038470407,5.0,15.0,10000
17.3365621102541,4.298213061649468,2.0678792318297625,5.0,15.0,10000
17.500115307904682,4.330149209711348,2.061587932345601,5.0,15.0,10000
17.663838553783485,4.361201863338009,2.0557454761565928,5.0,15.0,10000
17.82970124938139,4.391744981298907,2.0502391718446487,5.0,15.0,10000
17.995722576241477,4.421413773029649,2.0450987879574227,5.0,15.0,10000
18.1599145435106,4.449884279992535,2.040340727714068,5.0,15.0,10000
18.32424769898688,4.477528227040723,2.035867389511379,5.0,15.0,10000
18.488715762925327,4.504358106742881,2.031649420999553,5.0,15.0,10000
18.653312685558788,4.53038580810743,2.0276608251247095,5.0,15.0,10000
18.81803270207913,4.555622659325467,2.023878930908588,5.0,15.0,10000
18.982870346094003,4.580079459864874,2.0202836614503243,5.0,15.0,10000
19.14782041710888,4.603766503027617,2.0168577225891884,5.0,15.0,10000
19.31287783829833,4.626693582028839,2.0135857169921554,5.0,15.0,10000
19.478037738454223,4.648870027365839,2.0104549870853528,5.0,15.0,10000
19.643295541763127,4.670304740795889,2.007453913817689,5.0,15.0,10000
19.8086528667887,4.691006939317195,2.0045726207091183,5.0,15.0,10000
19.97409937898808,4.710983890485345,2.0018043308373445,5.0,15.0,10000
20.145117760941034,4.730869293444089,1.9990534903351156,5.0,15.0,10000
20.316222566888044,4.7499968299062045,1.9964056014203169,5.0,15.0,10000
20.481914840544505,4.767795979181668,1.9939394056849136,5.0,15.0,10000
20.647680432065304,4.784898865511655,1.9915636681346292,5.0,15.0,10000
20.813512357145207,4.801311409005575,1.9892747278777416,5.0,15.0,10000
20.979410561573943,4.817039899814185,1.9870701525268153,5.0,15.0,10000
21.14537168599138,4.832089961460695,1.9849483680636928,5.0,15.0,10000
21.311392476329857,4.8464669208761855,1.9829082157144085,5.0,15.0,10000
21.477469771667423,4.860175817470016,1.9809494157573169,5.0,15.0,10000
21.6436004879462,4.873221411340015,1.9790715237850796,5.0,15.0,10000
21.809781618564905,4.885608192308342,1.9772749610061695,5.0,15.0,10000
21.976010245908483,4.897340388949783,1.9755600201383143,5.0,15.0,10000
22.14228352097541,4.908421974587387,1.9739272392429748,5.0,15.0,10000
22.30859864660002,4.918856673330552,1.9723799174807644,5.0,15.0,10000
22.482498425883005,4.929076832929697,1.970852337999568,5.0,15.0,10000
22.656437898815728,4.938597604335022,1.9694140642885467,5.0,15.0,10000
22.823843359611168,4.947101758454039,1.9681208719371672,5.0,15.0,10000
22.99128018059684,4.954964342142543,1.9669177216361395,5.0,15.0,10000
23.157767436015806,4.962147599356508,1.9658107531216893,5.0,15.0,10000
23.324280648954108,4.968701648614836,1.9647943237418064,5.0,15.0,10000
23.49081735985047,4.974628604324493,1.9638694616805263,5.0,15.0,10000
23.657375146657262,4.979930371034722,1.9630373812925948,5.0,15.0,10000
23.82395161454224,4.984608646123273,1.9622989667895,5.0,15.0,10000
23.9905443895488,4.988664922385196,1.9616554785346103,5.0,15.0,10000
24.157151120693047,4.992100490515555,1.9611082021313575,5.0,15.0,10000
24.323769476585447,4.994916441067328,1.9606577954266944,5.0,15.0,10000
24.490397140218953,4.99711366607768,1.9603049725861503,5.0,15.0,10000
24.657031807365257,4.998692860459074,1.9600516795166691,5.0,15.0,10000
24.828514658081662,4.999673242406358,1.959895377912536,5.0,15.0,10000
25.000000000000018,4.9999999999999964,1.9598422089047036,5.0,15.0,10000
25.171485341918395,4.999673242406358,1.9598957139952948,5.0,15.0,10000
25.342968192634768,4.998692860459072,1.9600522186608775,5.0,15.0,10000
25.509602859781076,4.997113666077678,1.9603042966899005,5.0,15.0,10000
25.676230523414585,4.9949164410673275,1.9606557302681784,5.0,15.0,10000
25.842848879306985,4.992100490515552,1.961103073211996,5.0,15.0,10000
26.009455610451234,4.988664922385194,1.9616470463523503,5.0,15.0,10000
26.176048385457797,4.984608646123271,1.962287070407985,5.0,15.0,10000
26.342624853342773,4.97993037103472,1.9630219267183695,5.0,15.0,10000
26.509182640149564,4.97462860432449,1.9638517074409625,5.0,15.0,10000
26.675719351045917,4.968701648614833,1.9647743699057003,5.0,15.0,10000
26.842232563984226,4.962147599356505,1.9657905960228568,5.0,15.0,10000
27.0087198194032,4.95496434214254,1.9668975252649448,5.0,15.0,10000
27.176156640388868,4.947101758454036,1.9681012702531309,5.0,15.0,10000
27.3435621011843,4.938597604335017,1.9693951335427289,5.0,15.0,10000
27.517501574117027,4.929076832929693,1.970834744559628,5.0,15.0,10000
27.691401353400018,4.9188566733305485,1.9723635622245523,5.0,15.0,10000
27.857716479024614,4.908421974587385,1.9739118941334548,5.0,15.0,10000
28.02398975409154,4.89734038894978,1.9755456534343407,5.0,15.0,10000
28.19021838143513,4.885608192308338,1.9772612259283584,5.0,15.0,10000
28.35639951205384,4.873221411340009,1.9790583761700125,5.0,15.0,10000
28.5225302283326,4.8601758174700125,1.9809361557701608,5.0,15.0,10000
28.688607523670168,4.84646692087618,1.9828947039623273,5.0,15.0,10000
28.854628314008654,4.832089961460689,1.9849342894862865,5.0,15.0,10000
29.02058943842609,4.81703989981418,1.9870554269195784,5.0,15.0,10000
29.18648764285482,4.80131140900557,1.98925927137706,5.0,15.0,10000
29.352319567934725,4.78489886551165,1.991547347035868,5.0,15.0,10000
29.518085159455527,4.76779597918166,1.993922539316045,5.0,15.0,10000
29.68377743311199,4.749996829906199,1.996388157566266,5.0,15.0,10000
29.854882239058984,4.730869293444085,1.999035444771162,5.0,15.0,10000
30.025900621011903,4.710983890485341,2.001785513770053,5.0,15.0,10000
30.191347133211305,4.691006939317192,2.004553373462928,5.0,15.0,10000
30.356704458236887,4.670304740795886,2.0074342064745228,5.0,15.0,10000
30.521962261545795,4.648870027365834,2.0104346842558725,5.0,15.0,10000
30.687122161701684,4.626693582028832,2.0135647784505926,5.0,15.0,10000
30.85217958289116,4.603766503027608,2.016836187245191,5.0,15.0,10000
31.017129653906053,4.580079459864863,2.0202615490080458,5.0,15.0,10000
31.181967297920927,4.555622659325456,2.023856482393436,5.0,15.0,10000
31.34668731444126,4.530385808107416,2.02763793156774,5.0,15.0,10000
31.51128423707472,4.504358106742868,2.031626122910404,5.0,15.0,10000
31.67575230101317,4.477528227040711,2.0358434781765777,5.0,15.0,10000
31.840085456489444,4.449884279992522,2.0403161053251715,5.0,15.0,10000
32.00427742375856,4.421413773029636,2.045073017901049,5.0,15.0,10000
32.17029875061865,4.391744981298891,2.0502113787265968,5.0,15.0,10000
32.336161446216565,4.361201863337995,2.055714788083534,5.0,15.0,10000
32.499884692095364,4.330149209711332,2.0615535241651686,5.0,15.0,10000
32.66343788974595,4.29821306164945,2.067839768847463,5.0,15.0,10000
32.82681286999905,4.265377413261033,2.07462779042305,5.0,15.0,10000
32.99000099682432,4.231625430687175,2.0819787803516685,5.0,15.0,10000
33.15299315833997,4.196939394898529,2.089961269480919,5.0,15.0,10000
33.31577965374996,4.161300661388849,2.0986530398191587,5.0,15.0,10000
33.47835019796824,4.124689589945072,2.1081408536034587,5.0,15.0,10000
33.64069390352957,4.087085471546067,2.118523250609867,5.0,15.0,10000
33.80279918320905,4.0484664660432905,2.1299090149157,5.0,15.0,10000
33.964653661633825,4.008809531338513,2.1424243439077193,5.0,15.0,10000
34.12626172686559,3.9680858370636702,2.1562098203377964,5.0,15.0,10000
34.28759164767849,3.926273910549744,2.1714235127684822,5.0,15.0,10000
