arc_length,stress_height_5.0,stress_height_7.5,stress_height_10.0,stress_height_12.5,stress_height_15.0
7.387404928363879186e+00,2.164675399934145261e+00,2.299592613654155127e+00,2.274342016033854108e+00,2.070193004929526737e+00,1.791036963273908489e+00
7.555300494917603693e+00,2.150066358655691623e+00,2.292121243452283519e+00,2.277385153232224457e+00,2.075915656757920225e+00,1.786987096079124315e+00
7.723196061471328200e+00,2.136832488652103290e+00,2.286711249221311082e+00,2.284522584915849919e+00,2.089774976295788012e+00,1.794558215795198475e+00
7.891091628025052707e+00,2.124872512408409353e+00,2.283058948992361614e+00,2.295140607279261946e+00,2.110779209193031303e+00,1.815035887871413234e+00
8.058987194578778102e+00,2.114056729871790274e+00,2.280879491465138909e+00,2.308697914394723050e+00,2.138050368053825423e+00,1.846438238580593749e+00
8.226882761132502608e+00,2.103990612577889330e+00,2.279980501963039252e+00,2.324692637685612073e+00,2.170707400523352426e+00,1.887561840249125877e+00
8.394778327686227115e+00,2.094867154709423307e+00,2.279995891745922876e+00,2.342688180136391907e+00,2.207982752465754483e+00,1.937219891967596253e+00
8.562673894239951622e+00,2.086500762730020053e+00,2.281253227453913013e+00,2.362296237186961356e+00,2.249129243889218088e+00,1.994346026041454278e+00
8.730569460793676129e+00,2.078828243490638883e+00,2.282844449177536372e+00,2.383156605212101820e+00,2.293532729968057016e+00,2.057312651053904595e+00
8.898465027347400635e+00,2.071759157961121645e+00,2.284988637675905210e+00,2.404961162955672638e+00,2.340617044824177206e+00,2.127088321563364470e+00
9.066360593901125142e+00,2.065230833426919155e+00,2.287601062675357788e+00,2.427453146802015294e+00,2.389833871757407913e+00,2.201082181641432989e+00
9.234256160454849649e+00,2.059181976307623341e+00,2.290583749198439101e+00,2.450413718659125717e+00,2.440729284814194155e+00,2.278213688715280849e+00
9.402151727008574156e+00,2.053561420470957799e+00,2.293795133438601752e+00,2.473600076921040003e+00,2.492905119644895251e+00,2.358782310796725845e+00
9.570047293562298663e+00,2.048320077994519650e+00,2.297187059234213180e+00,2.496887496680177509e+00,2.546010743093268136e+00,2.442099831290443834e+00
9.737942860116023169e+00,2.043418097841611214e+00,2.300643460375605631e+00,2.519952868356701181e+00,2.599748081290394364e+00,2.527743838794876741e+00
