x,y,z,shear_stress
-5.0,-5.0,0,1.9046739214200363e-08
-5.0,-4.898989898989899,0,0.0
-5.0,-4.797979797979798,0,0.0
-5.0,-4.696969696969697,0,2.132835601073288e-08
-5.0,-4.595959595959596,0,0.0
-5.0,-4.494949494949495,0,2.285532107500595e-08
-5.0,-4.393939393939394,0,2.3618949666393296e-08
-5.0,-4.292929292929293,0,0.0
-5.0,-4.191919191919192,0,2.5143542137217332e-08
-5.0,-4.090909090909091,0,0.0
-5.0,-3.9898989898989896,0,0.0
-5.0,-3.888888888888889,0,0.0
-5.0,-3.787878787878788,0,0.0
-5.0,-3.686868686868687,0,0.0
-5.0,-3.5858585858585856,0,2.964841193859052e-08
-5.0,-3.484848484848485,0,0.0
-5.0,-3.383838383838384,0,0.0
-5.0,-3.282828282828283,0,0.0
-5.0,-3.1818181818181817,0,0.0
-5.0,-3.080808080808081,0,0.0
-5.0,-2.9797979797979797,0,0.0
-5.0,-2.878787878787879,0,0.0
-5.0,-2.7777777777777777,0,0.0
-5.0,-2.676767676767677,0,0.0
-5.0,-2.5757575757575757,0,0.0
-5.0,-2.474747474747475,0,0.0
-5.0,-2.3737373737373737,0,0.0
-5.0,-2.272727272727273,0,0.0
-5.0,-2.1717171717171717,0,0.0
-5.0,-2.070707070707071,0,1.9752387066387516e-08
-5.0,-1.9696969696969697,0,0.0
-5.0,-1.868686868686869,0,0.0
-5.0,-1.7676767676767677,0,0.0
-5.0,-1.6666666666666665,0,0.0
-5.0,-1.5656565656565657,0,1.0490769242170943e-08
-5.0,-1.4646464646464645,0,0.0
-5.0,-1.3636363636363638,0,1.0696445005821465e-08
-5.0,-1.2626262626262625,0,0.0
-5.0,-1.1616161616161618,0,0.0
-5.0,-1.0606060606060606,0,0.0
-5.0,-0.9595959595959593,0,1.103074831001586e-08
-5.0,-0.858585858585859,0,5.548671926862469e-09
-5.0,-0.7575757575757578,0,0.0
-5.0,-0.6565656565656566,0,5.604610392335526e-09
-5.0,-0.5555555555555554,0,5.627142085650908e-09
-5.0,-0.45454545454545503,0,0.0
-5.0,-0.3535353535353538,0,0.0
-5.0,-0.2525252525252526,0,2.836238190308486e-09
-5.0,-0.15151515151515138,0,1.4200168622310317e-09
-5.0,-0.050505050505050164,0,1.7762083718244399e-09
-5.0,0.050505050505050164,0,2.1314500461893284e-09
-5.0,0.15151515151515138,0,1.4200168622310317e-09
-5.0,0.2525252525252526,0,2.836238190308486e-09
